Device Name,IP Address IPv4
BORO-CORP-FW02,192.168.207.254
BORO-CORP-FW01,192.168.207.253
BORO-LAB-FW02,192.168.207.252
BORO-LAB-FW01,192.168.207.251
CMCH-HUB-FW02,192.168.204.62
CMCH-HUB-FW01,192.168.204.61
DFW-DC-FW02,172.26.190.33
DFW-DC-FW01,172.26.190.32
HIHQ-CORP-FW01,192.168.200.13
HIHQ-CORP-FW02,192.168.200.14
IAD-DC-FW01,172.26.58.32
IAD-DC-FW02,172.26.58.33
JAL-LAB-FW01,192.168.223.254
KAGS-XMIT1-FW01,192.168.217.166
KARE-MAIN-FW02,192.168.204.30
KARE-MAIN-FW01,192.168.204.29
KARE-XMIT1-FW01,192.168.216.38
KBMT-DR1-FW01,192.168.217.110
KBMT-MAIN-FW02,192.168.204.46
KBMT-MAIN-FW01,192.168.204.45
KBMT-XMIT1-FW01,192.168.216.78
KCEN-MAIN-FW01,192.168.205.237
KCEN-MAIN-FW02,192.168.205.238
KCEN-XMIT1-FW01,192.168.216.174
KENS-MAIN-FW01,192.168.205.253
KENS-MAIN-FW02,192.168.205.254
KENS-XMIT1-FW01,192.168.217.222
KFMB-MAIN-FW02,192.168.206.190
KFMB-MAIN-FW01,192.168.206.189
KFMB-XMIT1-FW01,192.168.216.62
KFMB-XMIT2-FW01,192.168.217.78
KFSM-MAIN-FW01,192.168.206.13
KFSM-MAIN-FW02,192.168.206.14
KGW-DR2-FW01,192.168.206.204
KGW-MAIN-FW02,192.168.206.206
KGW-MAIN-FW01,192.168.206.205
KGW-XMIT1-FW01,192.168.216.46
KHOU-DR1-FW01,192.168.216.254
KHOU-MAIN-FW02,192.168.207.46
KHOU-MAIN-FW01,192.168.207.45
KHOU-XMIT1-FW01,192.168.217.30
KIDY-MAIN-FW01,192.168.206.29
KIDY-MAIN-FW02,192.168.206.30
KIDY-XMIT1-FW01,192.168.206.25
KIDY-XMIT2-FW01,192.168.206.26
KIII-MAIN-FW02,192.168.206.46
KIII-MAIN-FW01,192.168.206.45
KIII-XMIT1-FW01,192.168.216.238
KING-DR1-FW01,192.168.217.134
KING-MAIN-FW02,192.168.206.222
KING-MAIN-FW01,192.168.206.221
KMSB-SALES1-FW01,192.168.216.198
KPNX-MAIN-FW02,192.168.206.126
KPNX-MAIN-FW01,192.168.206.125
KREM-MAIN-FW01,192.168.206.237
KREM-MAIN-FW02,192.168.206.238
KREM-XMIT1-FW01,192.168.216.222
KREM-XMIT2,192.168.206.228
KSDK-MAIN-FW02,192.168.205.142
KSDK-MAIN-FW01,192.168.205.141
KSDK-MAIN-FW04,192.168.205.134
KSDK-MAIN-FW03,192.168.205.133
KSDK-XMIT1-FW01,192.168.216.54
KTFT-XMIT1-FW01,192.168.216.246
KTHV-DR1-FW01,192.168.206.60
KTHV-MAIN-FW02,192.168.206.62
KTHV-MAIN-FW01,192.168.206.61
KTHV-XMIT1-FW01,192.168.216.182
KTVB-MAIN-FW01,192.168.206.157
KTVB-MAIN-FW02,192.168.206.158
KUSA-MAIN-FW02,192.168.206.174
KUSA-MAIN-FW01,192.168.206.173
KVUE-MAIN-FW02,192.168.207.62
KVUE-MAIN-FW01,192.168.207.61
KVUE-XMIT1-FW01,192.168.217.62
KWES-DR1-FW01,192.168.217.238
KWES-MAIN-FW02,192.168.207.94
KWES-MAIN-FW01,192.168.207.93
KWES-XMIT1-FW01,192.168.217.22
KXTV-MAIN-FW02,192.168.206.254
KXTV-MAIN-FW01,192.168.206.253
KXTV-XMIT1-FW01,192.168.216.214
KXVA-STUDIO1-FW01,192.168.217.6
KXVA-XMIT1-FW01,192.168.217.94
KYTX-MAIN-FW01,192.168.206.93
KYTX-MAIN-FW02,192.168.206.94
KYTX-XMIT1-FW01,192.168.217.14
NYC-SALES1-FW01,192.168.216.13
NYC-SALES1-FW02,192.168.216.14
NYCM-CORP-FW01,192.168.218.21
NYCM-CORP-FW02,192.168.218.22
ORAD-XMIT1-FW01,192.168.216.86
TEGNA-TRUCK1-FW01,192.168.217.174
TEST-MAIN-FW01,192.168.207.205
WATL-XMIT1-FW01,192.168.217.38
WATN-MAIN-FW01,192.168.205.157
WATN-MAIN-FW02,192.168.205.158
WATN-XMIT1-FW01,192.168.218.54
WBIR-MAIN-FW02,192.168.205.174
WBIR-MAIN-FW01,192.168.205.173
WBIR-XMIT1-FW01,192.168.216.158
WBNS-MAIN-FW01,192.168.207.77
WBNS-MAIN-FW02,192.168.207.78
WBNS-XMIT1-FW01,192.168.207.68
WCNC-DR1-FW01,192.168.216.30
WCNC-MAIN-FW01,192.168.204.77
WCNC-MAIN-FW02,192.168.204.78
WCNC-XMIT1-FW01,192.168.217.46
WCSH-BUREAU1-FW01,192.168.217.254
WCSH-MAIN-FW01,192.168.204.93
WCSH-MAIN-FW02,192.168.204.94
WCSH-XMIT1-FW01,192.168.216.166
WFAA-DR1-FW01,192.168.218.30
WFAA-MAIN-FW02,192.168.207.30
WFAA-MAIN-FW01,192.168.207.29
WFAA-XMIT1-FW01,192.168.217.206
WFMY-MAIN-FW01,192.168.204.109
WFMY-MAIN-FW02,192.168.204.110
WFMY-XMIT1-FW01,192.168.216.110
WGRZ-CAM1-FW01,192.168.217.190
WGRZ-MAIN-FW01,192.168.204.125
WGRZ-MAIN-FW02,192.168.204.126
WGRZ-XMIT1-FW01,192.168.216.142
WHAS-MAIN-FW01,192.168.204.141
WHAS-MAIN-FW02,192.168.204.142
WHAS-XMIT1-FW01,192.168.216.134
WKYC-MAIN-FW01,192.168.204.157
WKYC-MAIN-FW02,192.168.204.158
WLBZ-MAIN-FW02,192.168.204.174
WLBZ-MAIN-FW01,192.168.204.173
WLBZ-XMIT1-FW01,192.168.217.246
WLTX-MAIN-FW02,192.168.204.190
WLTX-MAIN-FW01,192.168.204.189
WLTX-XMIT1-FW01,192.168.217.102
WMAZ-MAIN-FW01,192.168.204.205
WMAZ-MAIN-FW02,192.168.204.206
WMAZ-XMIT1-FW01,192.168.204.196
WNEP-MAIN-FW02,192.168.204.222
WNEP-MAIN-FW01,192.168.204.221
WNEP-XMIT1-FW01,192.168.216.150
WOI-MAIN-FW01,192.168.204.237
WOI-MAIN-FW02,192.168.204.238
WOI-XMIT1-FW01,192.168.216.190
WPMT-MAIN-FW01,192.168.204.253
WPMT-MAIN-FW02,192.168.204.254
WQAD-MAIN-FW02,192.168.205.190
WQAD-MAIN-FW01,192.168.205.189
WQAD-XMIT1-FW01,192.168.216.230
WTHR-MAIN-FW02,192.168.207.14
WTHR-MAIN-FW01,192.168.207.13
WTHR-XMIT1-FW01,192.168.216.70
WTIC-MAIN-FW01,192.168.205.13
WTIC-MAIN-FW02,192.168.205.14
WTLV-DR1-FW01,192.168.216.94
WTLV-MAIN-FW02,192.168.205.30
WTLV-MAIN-FW01,192.168.205.29
WTLV-XMIT1-FW01,192.168.217.86
WTOL-CAM1-FW01,192.168.217.146
WTOL-MAIN-FW02,192.168.205.46
WTOL-MAIN-FW01,192.168.205.45
WTSP-DR1-FW01,192.168.216.206
WTSP-MAIN-FW01,192.168.205.61
WTSP-MAIN-FW02,192.168.205.62
WTSP-XMIT1-FW01,192.168.216.6
WUSA-MAIN-FW02,192.168.205.78
WUSA-MAIN-FW01,192.168.205.77
WVEC-MAIN-FW02,192.168.205.94
WVEC-MAIN-FW01,192.168.205.93
WVEC-XMIT1-FW01,192.168.216.126
WWL-DR1-FW01,192.168.216.118
WWL-MAIN-FW02,192.168.205.206
WWL-MAIN-FW01,192.168.205.205
WWL-XMIT1-FW01,192.168.217.226
WXIA-MAIN-FW02,192.168.205.110
WXIA-MAIN-FW01,192.168.205.109
WXIA-XMIT1-FW01,192.168.216.22
WZDX-MAIN-FW01,192.168.205.221
WZDX-MAIN-FW02,192.168.205.222
WZDX-XMIT1-FW01,192.168.205.212
WZZM-MAIN-FW01,192.168.205.125
WZZM-MAIN-FW02,192.168.205.126
WZZM-XMIT1-FW01,192.168.216.102
WWL-DR2-FW01,192.168.205.200
