hostname,ip_address,status,error_details
KXTV MX-67,,,
KXTV-2960-EC-SW-A,10.12.203.33,,
KXTV-2960-EC-SW-B,10.12.203.34,,
KXTV-2960-EC-SW-D,10.12.203.36,,
KXTV-2960-MC-D,10.12.203.45,,
KXTV-2960-MC-SW-B,10.12.203.18,,
KXTV-2960-WC-SW-C,10.12.203.32,,
KXTV-BC-SW02,10.12.203.55,,
KXTV-CORE-A,10.12.206.33,,
KXTVEastRoom,,,
KXTV-EC-AP-SW01,10.12.203.12,,
KXTV-EC-STACK1,10.12.203.9,,
KXTVExecutiveRoom,,,
kxtv-huddle,,,
KXTV-MAIN-AP01,,,
KXTV-MAIN-AP02,,,
KXTV-MAIN-AP03,,,
KXTV-MAIN-AP04,,,
KXTV-MAIN-AP05,,,
KXTV-MAIN-AP06,,,
KXTV-MAIN-AP07,,,
KXTV-MAIN-AP08,,,
KXTV-MAIN-AP09,,,
KXTV-MAIN-AP10,,,
KXTV-MAIN-FW01,,,
KXTV-MAIN-FW02,,,
KXTV-MCHUB-SW01,10.12.203.71,,
KXTV-MCHUB-SW02,10.12.203.72,,
KXTV-MC-STACK1,10.12.203.8,,
KXTV-MC-SVR-SW01,10.12.203.59,,
KXTV-MC-SVR-SW02,10.12.203.44,,
KXTV-MC-SVR-SW03,10.12.203.56,,
KXTV-NGN-SW01,10.12.203.61,,
KXTV-ntxnd01,,,
KXTV-ntxnd02,,,
KXTV-ntxnd03,,,
KXTV-ntxnd04,,,
KXTV-ntxnd05,,,
KXTVRedRoom,,,
KXTV-RT-SW01,10.12.203.58,,
KXTV-SEC-SVR-SW01,10.12.203.13,,
KXTV-STUDIO-SW01,10.12.203.11,,
KXTV-SVR-SW01,10.12.203.41,,
KXTV-TRIANGLE-SW-A,,,
KXTV-UW01,208.185.61.78,,
KXTV-UW02,192.168.129.10,,
KXTV-UW04,172.29.0.68,,
KXTV-WC-STACK1,10.12.203.10,,
KXTV-XMIT1-SW01,10.12.193.2,,
KXTV-XMIT1-UW01,172.29.0.209,,
