hostname,ip_address,status
BORO-ROAM-SW01,,pending
BORO-UW01,,pending
CMCH-SVR-SW06,,pending
DFW1-ACCESS-SW03,,pending
DFW1-ACCESS-SW04,,pending
IAD2-MGMT-SW04,,pending
KENS-TECHAREA-05,,pending
AWE-COLUM5-UW06,,pending
DBL-SVR-SW02,,pending
EIT-DRASA01,,pending
EIT-DRASA02,,pending
EIT-PHX-UW01,,pending
EIT-PHX-UW02,,pending
EIT-PRIASA01,,pending
EIT-PRIASA02,,pending
KAGS-CORE-A,,pending
KAGS-SW01,,pending
KAGS-SW02,,pending
KAGS-UW01,,pending
KBMT-XMIT-SW01,,pending
KCEN-UW03,,pending
KCEN-UW04,,pending
KENS-2NDFLOOR-02,,pending
KENS-NEWS-01,,pending
KENS-NEWS-02,,pending
KENS-NEWS-03,,pending
KFSM-3650-NEWS-STACK,,pending
KFSM-BRUTUS-3650ST,,pending
KFSM-IT-RM137-SW01,,pending
KFSM-NEWS-3650ST,,pending
KFSM-RK102-3650ST,,pending
KFSM-STUDIO-3650,,pending
KGW-000-R78-SW01,,pending
KGW-000-R79-SW01,,pending
KGW-PCR2-AUDIO,,pending
KGW-UW03,,pending
KMSB-UW01,,pending
KPNX-1FLR-SW01,,pending
KREM-MC-SW01,,pending
KSDK-1F-CONTENTHUB2,,pending
KSDK-2960-MC-SW-A,,pending
KSDK-2960-MC-SW-B,,pending
KSDK-2960G-BC-SW-A,,pending
KSDK-2960G-PRODUCTION-SW-A,,pending
KSDK-3RDFLOOR-ATRIUM,,pending
KSDK-BC-A-SWITCH,,pending
KSDK-CONTENT-HUB-2,,pending
KSDK-RACKROOM-A,,pending
KSDK-RACKROOM-B,,pending
KSDK-SPARE-SW01,,pending
KSDK-UW01,,pending
KSDK-UW02,,pending
KTHV-2960G-DATA2-SW-A,,pending
KTHV-3750X-BC-SW-A,,pending
KTHV-3750X-BC-SW-B,,pending
KTHV-3750X-CTLRM-SW-B,,pending
KTVB-CREATIVESRVC-SW01,,pending
KXTV-2960-EC-SW-C,,pending
KXTV-2960-WC-SW-A,,pending
KXTV-2960-WC-SW-B,,pending
KXTV-3750-WESTCLOSETSW-D,,pending
KXTV-STOCK-UW01,,pending
KXTV-SVR-SW03,,pending
KYTX-XMIT-SW01,,pending
KYTX-XMIT-UW01,,pending
MPG-UW01,,pending
NA,,pending
TGNA-OLY-SW01,,pending
TGNA-OLY-UW01,,pending
WBNS-RM228-RK2-AS-133,,pending
WBNS-RM228-RK2-AS-134,,pending
WBNS-RM233-RK1-AS-128,,pending
WBNS-SATS-RK1-AS-157,,pending
WCNC-AUTOMATION-SW01,,pending
WCNC-CS-SW4,,pending
WCNC-MC-SW01,,pending
WCNC-ODMZ01,,pending
WCNC-SW5,,pending
WCNC-SW6,,pending
WCNC-TC-SW10,,pending
WCNC-TC-SW3,,pending
WCNC-TCSTACK,,pending
WCSH-CAMERA-SW01,,pending
WCSH-SWG-IT-MGMT,,pending
WFAA-CONTROL-SW01,,pending
WFAA-UW04,,pending
WFAA-VIDEOVOICE-MRR-R44,,pending
WGRX-MGMT-SW02,,pending
WGRZ-2960-MC-SW-B,,pending
WGRZ-2960-OOB-SW-A,,pending
WGRZ-3550-MASTERCONTROL,,pending
WGRZ-3550-NEWSB,,pending
WGRZ-3550-TECH-A,,pending
WGRZ-BC-SW03,,pending
WGRZ-BC-SW04,,pending
WGRZ-CLIENT-STACK01,,pending
WGRZ-CLIENT-SW01,,pending
WGRZ-DEVICE-SW02,,pending
WGRZ-ELC-SW01,,pending
WGRZ-SVR-SW01,,pending
WGRZ-SVR-SW02,,pending
WGRZ-SVR-SW03,,pending
WGRZ-UW06,,pending
WHAS-CNTLRM-3650E,,pending
WKYC-2960-MC-SW-A,,pending
WKYC-2960-OOB-SW-A,,pending
WKYC-2960G-OPS158SW-A,,pending
WKYC-3560-EJ309SW-A,,pending
WKYC-3560-OPS119SW-A,,pending
WKYC-3560-OPS53SW-A,,pending
WKYC-AUDA-SW-A,,pending
WKYC-BC-SW-A,,pending
WKYC-BC-SW-B,,pending
WKYC-NEWS-SW-A,,pending
WKYC-ODMZ-SW01,,pending
WKYC-OPS011-SW-A,,pending
WKYC-OPS121-SW-A,,pending
WKYC-SHOP-SW-A,,pending
WKYC-WKYC-PROMO-SW-A,,pending
WLTX-2960-MASTER-B,,pending
WLTX-2960-MC-SW-A,,pending
WLTX-2960-MC-SW-B,,pending
WLTX-CORE-IPT-SW01,,pending
WLTX-CORE-IPT-SW02,,pending
WLTX-MC-UTIL-A,,pending
WLTX-OOB-SW01,,pending
WLTX-SALES-IPT-SW02,,pending
WLTX-SERVER-SW01,,pending
WLTX-SERVER-SW02,,pending
WOI-6509-SW01,,pending
WOI-TRANS-SW01,,pending
WPMT-CORE-A-SW6509,,pending
WPMT-OPUS-SW3560,,pending
WQAD-SW-01,,pending
WTHR_CORE-MEDIA-B,,pending
WTHR_GAR-38,,pending
WTLV-2960G-BC-SW-B,,pending
WTLV-2960G-BC-SW-C,,pending
WTLV-2960G-ENG-SW-01,,pending
WTLV-2960S-2NDFLR-SW-C,,pending
WTLV-2960S-NEWS-SW-C,,pending
WTLV-3560-2NDFLOOR-SW-A,,pending
WTLV-ENG-SW02,,pending
WTLV-SALES-SW01,,pending
WTLV-SALES-SW02,,pending
WTLV-STUDIO-SW01,,pending
WTLV-STUDIO-SW02,,pending
WTLV-SVR-SW03,,pending
WTOL-BC2960-1,,pending
WTOL-IT-OFFICE,,pending
WTOL-MARKETING-9200,,pending
WTOL-NEWS-2960-1,,pending
WTOL-PROMPTER-2960,,pending
WTOL-SPARE,,pending
WTOL-SUBCHANNEL,,pending
WTOL-WSI-2960,,pending
WTSP-2960-OOB-SW-A,,pending
WTSP-2960-SCR,,pending
WTSP-3550-BUSINESS-B,,pending
WTSP-CAMBOT-SW-1,,pending
WTSP-CLIENTSW-2,,pending
WTSP-RACKROOM-R29,,pending
WTSP-SERVERSW-1STFL,,pending
WTSP-SVR-SW-B,,pending
WTSP-UW04,,pending
WUSA-2960-1STFLOOR-SW-A,,pending
WUSA-2960-1STFLOOR-SW-B,,pending
WUSA-2960-1STFLOOR-SW-C,,pending
WUSA-2960-1STFLOOR-SW-D,,pending
WUSA-2960-3RDFLOOR-SW-A,,pending
WUSA-2960-4THFLOOR-SW-A,,pending
WUSA-2960-4THFLOOR-SW-B,,pending
WUSA-2960-BACKUP,,pending
WUSA-2960-MC-SW-A,,pending
WUSA-2960-MC-SW-B,,pending
WUSA-2ND-3650-SW01,,pending
WUSA-3550-PHONEROOM2,,pending
WUSA-3RD-3650-SW01,,pending
WUSA-3RD-3650-SW02,,pending
WUSA-3RD-SW01,,pending
WUSA-3RD-SW02,,pending
WUSA-4TH-3650-SW02,,pending
WUSA-ODMZ-SW02,,pending
WUSA-OOB-SW01,,pending
WVEC-UW03,,pending
WWL-SW-ED-COC-SECUR1,,pending
WWL-SW-ED-MDF2,,pending
WWL-SW-ED-WEQ-RK3,,pending
WWL-SW-ED-WEQ-RK4,,pending
WWL-SW-PH-COC1,,pending
WWL-SW-PH-COC2,,pending
WWL-SW-PH-COC3,,pending
WWL-SW-PH-COC4,,pending
WWL-SW-PH-NX1,,pending
WZZM-SW02,,pending
BORO-CORE-A.TGNA.TEGNA.COM,,pending
CMCH-CORE-A.TGNA.TEGNA.COM,,pending
CMCH-CORE-B.TGNA.TEGNA.COM,,pending
EIT-DRASA01.TGNA.TEGNA.COM,,pending
EIT-DRASA02.TGNA.TEGNA.COM,,pending
EIT-PRIASA01.TGNA.TEGNA.COM,,pending
EIT-PRIASA02.TGNA.TEGNA.COM,,pending
KARE-CORE-A.TGNA.TEGNA.COM,,pending
KENS-CORE-A.TGNA.TEGNA.COM,,pending
KFMB-CORE-A.TGNA.TEGNA.COM,,pending
KFSM-CORE-A.TGNA.TEGNA.COM,,pending
KHOU-CORE-A.TGNA.TEGNA.COM,,pending
KING-CORE-A.TGNA.TEGNA.COM,,pending
KPNX-CORE-A.TGNA.TEGNA.COM,,pending
KREM-CORE-A.TGNA.TEGNA.COM,,pending
KSDK-CORE-A.TGNA.TEGNA.COM,,pending
KTHV-CORE-A.TGNA.TEGNA.COM,,pending
KTVB-CORE-A.TGNA.TEGNA.COM,,pending
KUSA-CORE-A.TGNA.TEGNA.COM,,pending
KWES-CORE-A.TGNA.TEGNA.COM,,pending
KXTV-CORE-A.TGNA.TEGNA.COM,,pending
WATN-CORE-A.TGNA.TEGNA.COM,,pending
WBIR-CORE-A.TGNA.TEGNA.COM,,pending
WBNS-CORE-A.TGNA.TEGNA.COM,,pending
WCNC-CORE-A.TGNA.TEGNA.COM,,pending
WCSH-CORE-A.TGNA.TEGNA.COM,,pending
WFAA-CORE-A.TGNA.TEGNA.COM,,pending
WFMY-CORE-A.TGNA.TEGNA.COM,,pending
WGRZ-CORE-A.TGNA.TEGNA.COM,,pending
WHAS-CORE-A.TGNA.TEGNA.COM,,pending
WKYC-CORE-A.TGNA.TEGNA.COM,,pending
WLTX-CORE-A.TGNA.TEGNA.COM,,pending
WNEP-CORE-A.TGNA.TEGNA.COM,,pending
WPMT-CORE-A.TGNA.TEGNA.COM,,pending
WQAD-CORE-A.TGNA.TEGNA.COM,,pending
WTHR-CORE-A.TGNA.TEGNA.COM,,pending
WTHR_CORE-MEDIA-A.TGNA.TEGNA.COM,,pending
WTIC-CORE-A.TGNA.TEGNA.COM,,pending
WTLV-CORE-A.TGNA.TEGNA.COM,,pending
WTOL-CORE-A.TGNA.TEGNA.COM,,pending
WTSP-CORE-A.TGNA.TEGNA.COM,,pending
WUSA-CORE-A.TGNA.TEGNA.COM,,pending
WVEC-CORE-A.TGNA.TEGNA.COM,,pending
WWL-CORE-A.TGNA.TEGNA.COM,,pending
WXIA-CORE-A.TGNA.TEGNA.COM,,pending
WZZM-CORE-A.TGNA.TEGNA.COM,,pending
